DBA,BORO,CUISINE DESCRIPTION,GRADE,address_full,lat,long,VIOLATION CODE
LA VIE EN SZECHUAN RESTAURANT,MANHATTAN,Chinese,Z,14 EAST   33 STREET 10016.0,40.7473468,-73.9843202,9
LA VILLA PIZZA,BROOKLYN,Pizza,A,1529 86TH ST 11228.0,40.6112946,-74.00825350000001,1
LA VUE,BROOKLYN,French,A,3202 EMMONS AVE 11235.0,40.583878000000006,-73.93274439999998,2
LADUREE SOHO,MANHATTAN,French,Z,398 W BROADWAY 10012.0,40.724314299999996,-74.0025064,3
LADY M CONFECTIONS (Plaza Hotel 770 5th avenue),MANHATTAN,Bakery,A,1 WEST   59 STREET 10019.0,40.7646585,-73.97413949999998,3
LAFAYETTE,MANHATTAN,French,A,380 LAFAYETTE STREET 10003.0,40.7275934,-73.9937017,3
LALI'S RESTAURANT,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,630 10 AVENUE 10036.0,40.7612856,-73.9939358,3
LAMARCA PASTA RESTAURANT,MANHATTAN,Italian,A,161 EAST   22 STREET 10010.0,40.7383425,-73.9838297,2
LAND THAI KITCHEN,MANHATTAN,Thai,Z,450 AMSTERDAM AVENUE 10024.0,40.78499179999999,-73.9773785,5
LAO MA SPICY,QUEENS,Chinese,Z,4128 MAIN ST 11355.0,40.7571727,-73.8293161,5
LARINA PASTIFICIO & VINO,BROOKLYN,Italian,A,387 MYRTLE AVE 11205.0,40.6933594,-73.97036179999998,3
LARRY FLYNT'S HUSTLER CLUB,MANHATTAN,American,A,639641 WEST   51 STREET nan,40.76326829999999,-73.9864745,1
LARUSTICA PIZZA,MANHATTAN,Pizza,Z,1424 LEXINGTON AVE 10128.0,40.7841477,-73.95245600000001,2
LAS CAMELIAS BAR & RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,1802 WESTCHESTER AVENUE 10472.0,40.8316667,-73.86603120000001,3
LAS DELICIAS,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,217-19 JAMAICA AVE 11428.0,40.7180442,-73.73730400000001,4
LAS JUANAS RESTAURANTE ASADERO,QUEENS,Spanish,A,9515 NORTHERN BLVD 11372.0,40.7570583,-73.8724773,2
LAS MARGARITAS SUNSET,BROOKLYN,Mexican,Z,425 GRAHAM AVE 11211.0,40.7176258,-73.94514769999998,3
LAS PALMAS RESTAURANT II,BRONX,Mexican,Z,240 W 231ST ST 10463.0,40.8795054,-73.90637240000001,5
LATERNA TAVERNA,QUEENS,Greek,A,4720 BELL BOULEVARD 11361.0,40.7563105,-73.76778089999998,2
LATINO COFFEE SHOP & PIZZA,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,15019 LIBERTY AVE 11433.0,40.698322,-73.801681,3
LAVARTERA MEDITERRANEAN BISTRO,BROOKLYN,Mediterranean,Z,88 LIVINGSTON ST 11201.0,40.6912119,-73.99070689999998,3
LAVENDER LAKE,BROOKLYN,American,A,383 CARROLL STREET 11231.0,40.6786076,-73.989775,3
LAZZARAS PIZZA CAFE,MANHATTAN,Pizza,Z,221 WEST   38 STREET 10018.0,40.7540255,-73.98953359999999,5
LAZZAT,BROOKLYN,Eastern European,Z,1969 BATH AVE 11214.0,40.6016922,-74.00158549999998,3
LE BERNARDIN,MANHATTAN,French,A,155 W 51ST ST 10019.0,40.7615691,-73.98180479999998,3
LE FATIMA BAR & GRILL,BROOKLYN,Spanish,A,1474 BROADWAY 11221.0,0.0,0.0,1
LE FOND,BROOKLYN,Polish,A,105 NORMAN AVENUE 11222.0,40.725856,-73.9511141,1
LE MIDI BISTRO,MANHATTAN,French,A,9 EAST   13 STREET 10003.0,40.7351714,-73.9932621,3
LE P'TIT PARIS BISTRO,BROOKLYN,French,A,256 PROSPECT PARK WEST 11215.0,40.659023,-73.981765,2
LE PAIN QUOTIDIEN,MANHATTAN,Sandwiches,A,60 WEST   65 STREET 10023.0,40.7726479,-73.98159960000002,2
LECHONERA LA ISLA,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,254 E 125TH ST 10035.0,40.802755299999994,-73.9341681,2
LECHONERA POLLO SABROSO RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,1089 SOUTHERN BLVD 10459.0,40.8257143,-73.89218829999999,5
LEGEND'S PUB,STATEN ISLAND,American,A,1975 VICTORY BOULEVARD 10314.0,40.6127818,-74.1299143,1
LEGENDS NYC,MANHATTAN,American,A,6 WEST   33 STREET 10001.0,40.748012700000004,-73.985845,2
LEMON LIFE,MANHATTAN,Japanese,A,255 EAST  110 STREET 10029.0,40.7934335,-73.94084659999999,4
LEMONGRASS GRILL,BROOKLYN,Thai,A,156 COURT ST 11201.0,40.6886734,-73.99312359999998,3
LENNY'S PIZZA,QUEENS,Pizza/Italian,Z,4408 GREENPOINT AVE 11104.0,40.74143660000001,-73.92043149999998,5
LENOX SAPHIRE,MANHATTAN,African,Z,341 LENOX AVENUE 10027.0,40.809368,-73.944751,6
LESSINGS- BULOVA CORPORATE CENTER,QUEENS,American,Z,7520 ASTORIA BLVD 11370.0,40.7645332,-73.89315069999998,6
LEXINGTON BRASS,MANHATTAN,Armenian,A,517 LEXINGTON AVENUE 10017.0,40.7553115,-73.9729558,3
LIBERTY BAR,QUEENS,American,A,11000 ROCKAWAY BOULEVARD 11420.0,40.671679499999996,-73.83345200000001,2
LIMA RESTAURANT,QUEENS,Peruvian,Z,8507 NORTHERN BLVD 11372.0,40.75613,-73.88242690000001,6
LIMAN RESTAURANT,BROOKLYN,Mediterranean,A,2710 EMMONS AVENUE 11235.0,40.583526,-73.941115,2
LIMANI,MANHATTAN,Mediterranean,A,630 5TH AVE 10020.0,40.758995,-73.97729809999998,3
LIN HOME CHINESE RESTAURANT,BRONX,Chinese,A,2461 UNIVERSITY AVENUE 10468.0,40.8645787,-73.90415390000001,2
LINCOLN CENTER THEATER (Claire Tow Theater),MANHATTAN,American,A,150 W 65TH ST 10023.0,40.7735449,-73.9845816,3
LINKS CLUB,MANHATTAN,American,A,36 EAST   62 STREET 10065.0,40.76502259999999,-73.9695811,1
LIQUITERIA,MANHATTAN,"Juice, Smoothies, Fruit Salads",A,570 LEXINGTON AVE 10022.0,40.7570852,-73.97214919999998,2
LISSETT OMAR,BRONX,Pizza,A,392 E 149TH ST 10455.0,40.81604650000001,-73.9181801,1
LITTLE CAESARS,QUEENS,Pizza,A,14605 JAMAICA AVENUE 11435.0,40.7019878,-73.8086958,2
LITTLE COLLINS,MANHATTAN,Caf̩/Coffee/Tea,A,767 5TH AVE 10153.0,40.7636433,-73.97269709999998,3
LITTLE CUPCAKE BAKE SHOP,MANHATTAN,Bakery,Z,30 PRINCE STREET 10012.0,40.7228476,-73.9948435,5
LITTLE FROG FRANCOIS LATAPIE,MANHATTAN,French,A,322 E 86TH ST 10028.0,40.777244399999994,-73.9508955,3
LITTLE GIO'S PIZZA,MANHATTAN,Pizza,Z,26 1ST AVE 10009.0,40.723685700000004,-73.9877463,6
LITTLE ITALY M & O PIZZA RESTAURANT,BROOKLYN,Pizza,A,876 BROADWAY 11206.0,40.698115,-73.937771,2
LITTLE ITALY PIZZA,MANHATTAN,Pizza,A,217 E 86TH ST 10028.0,40.778619899999995,-73.9529045,1
LITTLE ITALY PIZZA III,MANHATTAN,Pizza/Italian,A,122 UNIVERSITY PLACE 10003.0,40.734788200000004,-73.99230209999999,1
LITTLE KING,BROOKLYN,American,Z,749 METROPOLITAN AVE 11211.0,40.7146961,-73.94405970000001,6
LITTLE ZELDA,BROOKLYN,Caf̩/Coffee/Tea,Z,728 FRANKLIN AVENUE 11238.0,40.6737724,-73.9570832,6
LITTLEFIELD,BROOKLYN,American,A,635 SACKETT ST 11217.0,40.6785007,-73.9833014,1
LIZZMONADE,BROOKLYN,"Juice, Smoothies, Fruit Salads",Z,1 BROOKLYN BRIDGE PARK 11201.0,40.6995399,-73.9973777,4
LJ PIZZA,BRONX,Pizza,A,2734 JEROME AVENUE 10468.0,40.868942700000005,-73.8958858,2
LKE CATERING,MANHATTAN,Sandwiches/Salads/Mixed Buffet,A,625 W 59TH ST 10019.0,40.7712339,-73.993184,2
LOBO,BROOKLYN,Tex-Mex,Z,218 COURT STREET 11201.0,40.6865809,-73.994126,5
LOBSTER BOX,BRONX,Seafood,A,34 CITY ISLAND AVE 10464.0,40.838640399999996,-73.78312540000002,2
LOCAL CAFE & COCKTAILS,MANHATTAN,American,Z,1 PENN PLAZA 10119.0,40.7512148,-73.9922255,5
LOCANDA VERDE,MANHATTAN,Italian,Z,377 GREENWICH STREET 10013.0,40.719822,-74.00986069999998,5
LOIS BAR,MANHATTAN,American,A,98 AVENUE C 10009.0,40.723696200000006,-73.97888090000001,3
LOK HIN,BRONX,Chinese,A,299 BROOK AVE 10454.0,40.80917780000001,-73.91845390000002,2
LOLLIPOPS ICE CREAM,BRONX,"Ice Cream, Gelato, Yogurt, Ices",A,4120 BAYCHESTER AVENUE 10466.0,40.893621,-73.8435834,2
LOMA 3 RESTAURANT AND COFFEE SHOP,BROOKLYN,Spanish,A,754 NEW LOTS AVE 11207.0,40.666148,-73.88261299999998,4
LONG WON,BROOKLYN,Chinese,A,1845 ROCKAWAY PKWY 11236.0,40.637319399999996,-73.89334819999998,3
LONG WONG BAKERY II,BROOKLYN,Bakery,A,1310 AVENUE U 11229.0,40.5985026,-73.95782940000001,2
LOONG XIN ASIAN CUISINE,BRONX,Chinese,A,670 E 233RD ST 10466.0,40.893578399999996,-73.85845929999998,3
LOPEZ FAMILY MARKET,BROOKLYN,Spanish,Z,173 PARK AVE 11205.0,40.853716999999996,-73.96705859999999,5
LORENZOS BAR & GRILL (HILTON GARDEN),STATEN ISLAND,American,A,1100 SOUTH AVENUE 10314.0,40.614576899999996,-74.17720809999999,2
LOS 3 POTRILLOS,BROOKLYN,Mexican,A,1004 4 AVENUE 11232.0,40.652880700000004,-74.00636300000001,2
LOS ANGELES BAKERY,BROOKLYN,Bakery,A,729 FLUSHING AVENUE 11206.0,40.7007073,-73.94349570000001,3
LOS BUCAROS,QUEENS,Spanish,Z,13859 QUEENS BLVD 11435.0,40.7076056,-73.81717409999999,6
LOS CUENCANITOS,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,5418 ROOSEVELT AVENUE 11377.0,40.744784100000004,-73.90998139999998,5
LOS TACOS NO.1,MANHATTAN,Mexican,Z,229 W 43RD ST 10036.0,40.757267299999995,-73.9875308,3
LOS TRES POTRILLOS RESTAURANT,QUEENS,Mexican,Z,11116 ROOSEVELT AVENUE 11368.0,40.751555200000006,-73.85506459999998,3
LOTTE NEW YORK PALACE -4th floor kitchen,MANHATTAN,American,A,455 MADISON AVE 10022.0,40.75801999999999,-73.97497750000001,2
LOVE BAKERY & CAFE,QUEENS,Bakery,A,3213 JUNCTION BLVD 11369.0,40.7582506,-73.87427679999998,2
LOVE GARDEN,BRONX,Chinese,A,804 E 180TH ST 10460.0,40.8462605,-73.8852916,3
LOWLANDS BAR,BROOKLYN,American,A,543 3 AVENUE 11215.0,40.66847449999999,-73.99318710000001,3
LUCISOUS THAI,MANHATTAN,Thai,A,1099 1ST AVE 10065.0,40.760501500000004,-73.96163179999999,3
LUCKY EIGHT RESTAURANT,BROOKLYN,Chinese,A,5204 8TH AVE 11220.0,37.5617563,-120.91405230000001,2
LUCKY STAR CHINESE RESTAURANT,BRONX,Chinese,A,1924 CROSS BRONX EXPY 10472.0,40.83252529999999,-73.859526,2
LUCKY STAR CHINESE RESTAURANT,QUEENS,Chinese,A,3903 104TH ST 11368.0,40.750524799999994,-73.8619032,2
LUCKY THAILAND KITCHEN,QUEENS,Thai,Z,8605 JAMAICA AVENUE 11421.0,40.6926963,-73.8579365,4
LUCKYHE CHINESE RESTAURANT,QUEENS,Chinese,A,21840 HILLSIDE AVE 11427.0,40.7289651,-73.74542890000001,3
LUCONI NYC,BRONX,Pizza,A,689 E 187TH ST 10458.0,40.8544759,-73.8849106,4
LUIGI PIZZERIA & RISTORANTE,MANHATTAN,Pizza,Z,1701 1 AVENUE 10128.0,40.778414,-73.9486109,5
LUIGIS GRILL PIZZA,MANHATTAN,Pizza/Italian,Z,936 8 AVENUE 10019.0,40.7655549,-73.98342099999998,5
LUK & BART HOMEMADE FOOD,STATEN ISLAND,Polish,A,2960 RICHMOND TER 10303.0,40.6367477,-74.15881879999998,2
LUKE'S BAR & GRILL,MANHATTAN,American,Z,1394 THIRD AVENUE 10075.0,40.774645899999996,-73.95735450000001,5
LUKE'S PIZZA,BRONX,Pizza,Z,1226 SOUTHERN BOULEVARD 10459.0,40.8293602,-73.89154520000001,0
LULA BAGEL,BROOKLYN,Caf̩/Coffee/Tea,A,816 NOSTRAND AVE 11216.0,40.670894399999995,-73.9505963,2
LULU'S COFFEE SHOP,BRONX,Caf̩/Coffee/Tea,A,1191 CASTLE HILL AVENUE 10462.0,40.831698100000004,-73.8513114,2
LUPITA RESTAURANT,MANHATTAN,Mexican,Z,2049 2ND AVE 10029.0,40.790242600000006,-73.94309100000001,6
LUV STORY BAR,BROOKLYN,Spanish,A,894 WYCKOFF AVE 11237.0,40.69686859999999,-73.9067745,1
LUVUMS TROPICAL ICES,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",A,4716 7TH AVE 11220.0,0.0,0.0,1
LUZZO'S BK,BROOKLYN,Italian,A,145 ATLANTIC AVENUE 11201.0,40.6907006,-73.99522059999998,3
LYNX KITCHEN,MANHATTAN,Caribbean,A,1 W 137TH ST 10037.0,40.8142482,-73.93686749999998,3
La Abundancia Bakery & Restaurant,QUEENS,Spanish,A,15340 HILLSIDE AVE 11432.0,40.70745549999999,-73.8028573,2
Laboratorio,MANHATTAN,Italian,Z,329 W 51ST ST 10019.0,40.762683200000005,-73.98534819999998,1
Lan Zhou Handmade Noodle,QUEENS,Chinese,Z,4128 MAIN ST 11355.0,40.7571727,-73.8293161,5
M & J HONG KONG STYLE,QUEENS,Chinese,Z,6010 KISSENA BOULEVARD 11355.0,40.7396853,-73.8154164,6
MABAT STEAKHOUSE,BROOKLYN,Jewish/Kosher,A,1809 E 7TH ST 11223.0,40.6064583,-73.96559010000001,2
MACDOUGAL STREET ALEHOUSE,MANHATTAN,American,A,122 MACDOUGAL ST 10012.0,40.7299115,-74.00043289999998,2
MADCAP CAFE,BROOKLYN,American,Z,387 COURT STREET 11231.0,40.6800223,-73.99675340000002,3
MADDEN'S PUB,BRONX,American,A,25A-27 EAST BEDFORD PARK BLVD nan,40.873116100000004,-73.88864869999998,2
MADE IN PUERTO RICO,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,3363 E TREMONT AVE 10461.0,40.8344938,-73.8291002,5
MADE IN PUERTO RICO BAR & LOUNGE,BRONX,Spanish,Z,26 BRUCKNER BLVD 10454.0,40.8068497,-73.92840439999998,6
MAGGIE MAE'S,QUEENS,"Bottled beverages, including water, sodas, juices, etc.",A,4115 QUEENS BLVD 11104.0,40.74395699999999,-73.922855,3
MAGGIES PLACE,MANHATTAN,American,A,21 EAST   47 STREET 10017.0,40.7562167,-73.9772069,3
MAGLIA ROSA INDUSTRY CITY,BROOKLYN,Caf̩/Coffee/Tea,Z,920 3RD AVE 11232.0,40.6567849,-74.00570570000001,2
MAHALLA,BROOKLYN,Caf̩/Coffee/Tea,A,127 DITMAS AVE 11218.0,40.635831700000004,-73.977103,2
MAIN BAKHTAR HALAL KABAB,QUEENS,Afghan,A,6729 MAIN ST 11367.0,40.733525799999995,-73.82492839999998,5
MAIN STREET COFFEE,STATEN ISLAND,Caf̩/Coffee/Tea,A,173 MAIN ST 10307.0,40.510829799999996,-74.24832099999998,1
MAISON BELJANSKI,MANHATTAN,Caf̩/Coffee/Tea,A,317 E 53RD ST 10022.0,40.756603000000005,-73.96620399999998,2
MAISON KAYSER,MANHATTAN,French,A,1400 BROADWAY 10018.0,40.7530195,-73.98671340000001,2
MAISON KAYSER,MANHATTAN,French,A,339 7TH AVE 10001.0,40.7474172,-73.99282120000001,3
MAISON MAY,BROOKLYN,French,A,246 DEKALB AVENUE 11205.0,40.689320200000004,-73.9693396,3
MAITE,BROOKLYN,Spanish,A,159 CENTRAL AVE 11221.0,0.0,0.0,2
MAJESTIC DELICATESSEN CAFE,MANHATTAN,American,A,200 WEST   50 STREET 10019.0,40.7610573,-73.98359930000001,3
MAKANA,MANHATTAN,Hawaiian,Z,1502 AMSTERDAM AVE 10031.0,40.818451700000004,-73.95288190000001,4
MAKITO,MANHATTAN,Japanese,A,353 W 14TH ST 10014.0,40.740904799999996,-74.00470820000001,3
MALAPARTE,MANHATTAN,Italian,A,753 WASHINGTON STREET 10014.0,40.722866100000005,-74.0104589,2
MALAY BAKERY,BROOKLYN,Chinese,Z,6919 NEW UTRECHT AVENUE 11228.0,40.61969930000001,-73.9985554,3
MALAYSIA GRILL,MANHATTAN,Asian,Z,224 W 104TH ST 10025.0,40.7994024,-73.9677821,3
MAMA FINA'S,MANHATTAN,Filipino,A,167 AVENUE A 10009.0,40.7282589,-73.98219549999999,3
MAMA LUPE RESTAURANT,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,4219 102ND ST 11368.0,40.7473205,-73.8627075,2
MAMA PHO,BROOKLYN,Asian,A,685 MANHATTAN AVE 11222.0,40.7250149,-73.9517523,4
MAMA PIO KITCHEN,QUEENS,Delicatessen,A,5305 65TH PL 11378.0,40.7311615,-73.89991669999998,3
MAMA TINA'S PIZZA,MANHATTAN,Pizza,Z,2649 FRDERICK DOUGLASS BOULEVARD nan,40.8206414,-73.94390390000001,6
MAMA'S COOKING,QUEENS,Caribbean,A,1044 BEACH   21 STREET 11691.0,40.6034723,-73.75372270000001,2
MAMA'S PIZZA CAFE,MANHATTAN,Pizza,Z,705 8 AVENUE 10036.0,40.7589911,-73.98882320000001,3
MAMAN,BROOKLYN,French,Z,80 KENT ST 11222.0,40.7260239,-73.78531190000001,3
MAMBI STEAKHOUSE,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,4181 BROADWAY 10033.0,40.84772,-73.938251,4
MANDARIN ORIENTAL HOTEL-BANQUET,MANHATTAN,American,A,80 COLUMBUS CIRCLE at 60th street 10023.0,40.7689873,-73.98301719999998,2
MANGIA,MANHATTAN,Italian,A,22 WEST   23 STREET 10010.0,40.74172739999999,-73.99064729999998,2
MANHATTAN 3 DECKER RESTAURANT,BROOKLYN,American,A,695 MANHATTAN AVENUE 11222.0,40.725251899999996,-73.9518379,1
MANHATTAN BEACH CATERING,BROOKLYN,Jewish/Kosher,A,60 W END AVE 11235.0,40.5804864,-73.9539377,3
MANHATTANVILLE COFFEE,BROOKLYN,Caf̩/Coffee/Tea,Z,167 ROGERS AVE 11216.0,40.671654100000005,-73.9529795,4
MANI IN PASTA,MANHATTAN,Italian,A,14 E 37TH ST 10016.0,40.749795,-73.982312,2
MANOR OKTOBERFEST FOREST HILLS,QUEENS,German,A,7311 YELLOWSTONE BOULEVARD 11375.0,40.71733629999999,-73.85686129999998,3
MANOR SUSHI,STATEN ISLAND,Japanese,A,878 MANOR ROAD 10314.0,40.6052395,-74.12120879999998,3
MAOZ VEGETARIAN,MANHATTAN,Vegetarian,Z,0 106 STREET & 5 AVENUE nan,0.0,0.0,4
MAR'S,QUEENS,American,Z,3421 34 AVE 11106.0,40.75836109999999,-73.92409980000001,5
MARCONI'S PIZZA,BRONX,Pizza/Italian,Z,179 E GUN HILL RD 10467.0,40.8809865,-73.8777829,5
MARGARITA ISLAND,BROOKLYN,"Bottled beverages, including water, sodas, juices, etc.",A,1105 BOWERY ST 11224.0,40.5748549,-73.9792552,2
MARGON RESTAURANT,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,136 WEST   46 STREET 10036.0,40.75786420000001,-73.9839921,4
MARILU & DEYSI RESTAURANT,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,206 AUDUBON AVENUE 10033.0,40.845284,-73.93521899999999,2
MARIO'S,STATEN ISLAND,American,A,1657 RICHMOND RD 10304.0,40.589707000000004,-74.101399,2
MARK FORGIONE,MANHATTAN,American,A,134 READE STREET 10013.0,40.71649379999999,-74.00960730000001,2
MARQUIS THEATER,MANHATTAN,American,A,1535 BROADWAY 10036.0,40.7585862,-73.98582019999998,2
MARSHALL STREET-ATOMIC WINGS,MANHATTAN,American,Z,306 E 49TH ST 10017.0,40.753879,-73.968586,14
MARTA,MANHATTAN,Italian,A,29 E 29TH ST 10016.0,40.7446372,-73.9845571,2
MASAKI TERIYAKI & SUSHI,BROOKLYN,Japanese,A,11 PUTNAM AVENUE 11238.0,40.6828275,-73.9621835,3
MASSERIA CAFFE,MANHATTAN,Italian,A,235 W 48TH ST 10036.0,40.7607954,-73.98601339999998,3
MAX  CAFFE,MANHATTAN,American,A,1262 AMSTERDAM AVENUE 10027.0,40.8108933,-73.95831940000001,3
MAX BAKERY & RESTAURANT,QUEENS,Chinese,A,3763 90 STREET 11372.0,40.748718200000006,-73.87643419999998,2
MAX DELI N GRILL,QUEENS,Delicatessen,A,1402 CLINTONVILLE ST 11357.0,40.789153000000006,-73.811719,2
MAX SOHA,MANHATTAN,Italian,A,1274 AMSTERDAM AVENUE 10027.0,40.8113136,-73.9581736,2
MAX'S ES-CA RESTAURANT AND BAR,STATEN ISLAND,American,A,1559 RICHMOND ROAD 10304.0,40.5915008,-74.1012157,1
MAXWELL'S BAR & RESTAURANT,MANHATTAN,American,Z,1325 5TH AVE 10029.0,40.797555200000005,-73.9481517,5
MBJ CAFETERIA/LAGUARDIA COMMUNITY COLLEGE,QUEENS,American,Z,3110 THOMSON AVENUE 11101.0,40.7438795,-73.93513859999999,5
MBJ FOOD SERVICE,QUEENS,American,A,2910 THOMPSON AVENUE 11101.0,40.7442821,-73.93804420000001,2
MBJ SOUTH (NAMM CAFE),BROOKLYN,American,A,300 JAY STREET 11201.0,40.6954929,-73.98756809999998,3
MCCANN'S PUB,QUEENS,Irish,A,3615 DITMARS BOULEVARD 11105.0,40.7742113,-73.90752690000001,3
MCDONALD'S,BRONX,Hamburgers,A,3509 WEBSTER AVENUE 10467.0,40.87911829999999,-73.8717233,3
MCDONALD'S,BRONX,Hamburgers,A,372 EAST FORDHAM ROAD 10458.0,40.8615868,-73.8924722,2
MCDONALD'S,BRONX,Hamburgers,A,599 EAST TREMONT AVENUE 10457.0,40.84670870000001,-73.8934216,3
MCDONALD'S,BROOKLYN,Hamburgers,A,943 FLATBUSH AVENUE 11226.0,40.64870500000001,-73.958168,2
MCDONALD'S,MANHATTAN,American,A,167 CHAMBERS STREET 10007.0,40.7163198,-74.0105647,2
MCDONALD'S,MANHATTAN,Hamburgers,A,262 CANAL STREET 10013.0,40.71858700000001,-74.001052,1
MCDONALD'S,MANHATTAN,Hamburgers,A,824 3 AVENUE 10022.0,40.756163,-73.97075099999998,1
MCDONALD'S,QUEENS,American,A,9067 SUTPHIN BOULEVARD 11435.0,40.701211,-73.807654,2
MCDONALD'S,QUEENS,Hamburgers,A,10615 71 AVENUE 11375.0,40.724567799999996,-73.8457658,3
MCDONALD'S #13068,BROOKLYN,American,A,880 CONEY ISLAND AVE 11218.0,40.6357981,-73.96814950000002,2
MD BAGELS,STATEN ISLAND,Delicatessen,A,434 CASTLETON AVE 10301.0,40.6337562,-74.0970401,2
MEE NOODLE SHOP,MANHATTAN,Chinese,Z,795 9TH AVE 10019.0,40.7653751,-73.9879042,5
MEE THAI CUISINE,BROOKLYN,Thai,Z,180 5 AVENUE 11217.0,40.677426200000006,-73.980049,4
MEHAK,QUEENS,Indian,Z,8306 AUSTIN STREET 11415.0,40.708951,-73.82961499999998,5
MEI YU SPRING RESTAURANT,MANHATTAN,Chinese,Z,29 CATHERINE STREET 10038.0,40.7125434,-73.9969739,4
MELROSE BALLROOM,QUEENS,American,A,36-08 33RD STREET 11106.0,40.755608200000005,-73.9285132,2
MEO JAPANESE HIBACHI,QUEENS,Japanese,Z,18501 UNION TPKE 11366.0,40.728556899999994,-73.7837491,8
MERAKI,BROOKLYN,Jewish/Kosher,A,1673 E 13TH ST 11229.0,40.60833529999999,-73.95997609999998,2
MERIT DELI,QUEENS,Delicatessen,A,3202 37TH AVE 11101.0,40.7542998,-73.93031040000001,2
MERRION SQUARE,MANHATTAN,American,A,1840 2 AVENUE 10128.0,40.783605,-73.947349,4
MERRY LAND BUFFET,BRONX,Chinese,A,505 E 163RD ST 10451.0,40.8247761,-73.9091378,3
MERZOUKA,QUEENS,Caf̩/Coffee/Tea,A,2914 CRESCENT ST 11102.0,40.768973200000005,-73.9249925,2
MESON SEVILLA RESTAURANT,MANHATTAN,Spanish,Z,344 WEST   46 STREET 10036.0,40.760383700000006,-73.98965030000001,5
MESSDECK CAFE (INTREPID MUSEUM),MANHATTAN,American,A,1 INTREPID SQ nan,0.0,0.0,2
METRO EATS,BROOKLYN,Delicatessen,A,292 ATLANTIC AVE 11201.0,40.688424499999996,-73.9890747,2
METRO STAR COFFEE SHOP,QUEENS,Spanish,A,3211 JUCTION BLVD nan,40.75828370000001,-73.87421549999998,2
METROPOLITAN FOOD CAFE OF BROOKLYN COLLEGE,BROOKLYN,American,A,2900 BEDFORD AVENUE 11210.0,40.6308935,-73.951458,3
METROPOLITAN MUSEUM BALCONY LOUNGE,MANHATTAN,American,A,1000 5 AVENUE 10028.0,40.779165500000005,-73.96292779999999,3
METROPOLITAN MUSEUM OF ART,MANHATTAN,American,A,1000 5 AVENUE 10028.0,40.779165500000005,-73.96292779999999,0
METROPOLITAN MUSEUM ROOF TOP GARDEN CAFE,MANHATTAN,American,A,1000 5 AVENUE 10028.0,40.779165500000005,-73.96292779999999,2
MEXICAN CANTINA,STATEN ISLAND,Mexican,A,1736 VICTORY BLVD 10314.0,40.61294110000001,-74.12161040000001,2
MEXICO 2000,BROOKLYN,Mexican,A,369 BROADWAY 11211.0,40.70764260000001,-73.954926,4
MEZCLA DE SABORES RESTAURANT,BRONX,Spanish,Z,1416 OGDEN AVE 10452.0,40.843,-73.92353620000002,4
MEZE,BROOKLYN,Greek,A,6601 13 AVENUE 11219.0,40.625178999999996,-74.00207890000001,3
MI ARMADILLO GRANDE,STATEN ISLAND,Mexican,A,1569 CASTLETON AVE 10302.0,40.636185600000005,-74.1352934,3
MI BELLA CHOLULITA MEXICAN RESTAURANT,BROOKLYN,Spanish,A,1386 DEKALB AVE 11221.0,33.7619396,-84.3422296,2
MI CANDILEJAS RESTAURANT,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,1509 MERMAID AVENUE 11224.0,0.0,0.0,2
MI PEQUENA CHOLULA DELI RESTAURANTE,BROOKLYN,Mexican,Z,1481 MYRTLE AVENUE 11237.0,40.6991709,-73.91648620000002,1
MI PEQUENO RANCHITO,BROOKLYN,Mexican,A,4614 NEW UTRECHT AVENUE 11219.0,40.638895899999994,-73.9946209,4
MI SABOR CAFE,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,920 BROADWAY 11206.0,40.69722120000001,-73.9361012,2
MI TACO SANTANA,BROOKLYN,Mexican,Z,301 KEAP ST 11211.0,40.70788700000001,-73.95553340000001,3
MIA'S KITCHEN,MANHATTAN,Spanish,Z,85 PITT ST 10002.0,40.71861129999999,-73.9825668,6
MICHAEL ANTHONY'S,STATEN ISLAND,Italian,A,307 NELSON AVE 10308.0,40.542286600000004,-74.14538590000001,2
MICHAEL'S BAGELS,QUEENS,Bagels/Pretzels,A,10827 ASCAN AVENUE 11375.0,40.7181652,-73.8407043,2
