Address,cities,lat,long,address_full
287 3 AVENUE 10010.0,"287 3rd Ave, New York, NY 10010, USA",40.738271,-73.98325299999999,287 3 AVENUE 10010.0
9215 149 STREET 11435.0,"E 149th St, The Bronx, NY, USA",40.8149146,-73.9148828,9215 149 STREET 11435.0
260 COURT STREET 11231.0,"260 Court St, Brooklyn, NY 11231, USA",40.6852794,-73.9947256,260 COURT STREET 11231.0
1215 EAST GUN HILL ROAD 10469.0,"1215 E Gun Hill Rd, The Bronx, NY 10469, USA",40.8730559,-73.85196839999999,1215 EAST GUN HILL ROAD 10469.0
1107 RUTLAND ROAD 11212.0,"1107 Rutland Rd, Brooklyn, NY 11212, USA",40.66492,-73.92338099999999,1107 RUTLAND ROAD 11212.0
112 AVENUE A 10009.0,"112 Avenue A, New York, NY 10009, USA",40.7258338,-73.9833932,112 AVENUE A 10009.0
345 EAST   83 STREET 10028.0,"345 E 83rd St, New York, NY 10028, USA",40.7753307,-73.95120539999999,345 EAST   83 STREET 10028.0
340 WEST BROADWAY 10013.0,"340 W Broadway, New York, NY 10013, USA",40.7225405,-74.003794,340 WEST BROADWAY 10013.0
7559 METROPOLITAN AVENUE 11379.0,"75-59 Metropolitan Ave, Middle Village, NY 11379, USA",40.7133121,-73.8754214,7559 METROPOLITAN AVENUE 11379.0
200 WEST   44 STREET 10036.0,"200 W 44th St, New York, NY 10036, USA",40.757498,-73.986654,200 WEST   44 STREET 10036.0
375 LEXINGTON AVENUE 10017.0,"375 Lexington Ave, New York, NY 10017, USA",40.7509327,-73.9762579,375 LEXINGTON AVENUE 10017.0
728 EMPIRE AVENUE 11691.0,"728 Empire Ave, Far Rockaway, NY 11691, USA",40.6065258,-73.74411649999999,728 EMPIRE AVENUE 11691.0
931 WESTCHESTER AVENUE 10459.0,"931 Westchester Ave, The Bronx, NY 10459, USA",40.8220756,-73.8974707,931 WESTCHESTER AVENUE 10459.0
5 EAST   45 STREET 10017.0,"45 E 45th St, New York, NY 10017, USA",40.7547625,-73.97743609999999,5 EAST   45 STREET 10017.0
2221 HYLAN BOULEVARD 10306.0,"2221 Hylan Blvd, Staten Island, NY 10306, USA",40.57639959999999,-74.104244,2221 HYLAN BOULEVARD 10306.0
2344 STEINWAY STREET 11105.0,"23-44 Steinway St, Astoria, NY 11105, USA",40.7702979,-73.909634,2344 STEINWAY STREET 11105.0
119 LEXINGTON AVENUE 10016.0,"119 Lexington Ave, New York, NY 10016, USA",40.7427078,-73.9822435,119 LEXINGTON AVENUE 10016.0
2551 STEINWAY STREET 11103.0,"25-51 Steinway St, Long Island City, NY 11103, USA",40.76656990000001,-73.9124892,2551 STEINWAY STREET 11103.0
2521 ASTORIA BOULEVARD 11102.0,"25-21 Astoria Blvd, Long Island City, NY 11102, USA",40.7713738,-73.9220047,2521 ASTORIA BOULEVARD 11102.0
2 TIMES SQUARE 10036.0,"714 7th Ave, New York, NY 10036, USA",40.7596193,-73.9846788,2 TIMES SQUARE 10036.0
18 WEST   33 STREET 10001.0,"18 West 33rd Street, New York, NY 10001, USA",40.7480906,-73.9863088,18 WEST   33 STREET 10001.0
2923 AVENUE R 11229.0,"2923 Avenue R, Brooklyn, NY 11229, USA",40.6075797,-73.9434332,2923 AVENUE R 11229.0
102 EAST   22 STREET 10010.0,"102 E 22nd St, New York, NY 10010, USA",40.7392735,-73.9865086,102 EAST   22 STREET 10010.0
181 CHURCH STREET 10007.0,"181 Church St, New York, NY 10007, USA",40.7156129,-74.0071349,181 CHURCH STREET 10007.0
69 THOMPSON STREET 10012.0,"69 Thompson St, New York, NY 10012, USA",40.7244902,-74.0032774,69 THOMPSON STREET 10012.0
1975 VICTORY BOULEVARD 10314.0,"1975 Victory Blvd, Staten Island, NY 10314, USA",40.6127818,-74.1299143,1975 VICTORY BOULEVARD 10314.0
69 1 AVENUE 10003.0,"69 1st Avenue, New York, NY 10003, USA",40.7254662,-73.987225,69 1 AVENUE 10003.0
2662 BROADWAY 10025.0,"2662 Broadway, New York, NY 10025, USA",40.7979053,-73.9690186,2662 BROADWAY 10025.0
6405 ROOSEVELT AVENUE 11377.0,"64-05 Roosevelt Ave, Flushing, NY 11377, USA",40.7460908,-73.89974,6405 ROOSEVELT AVENUE 11377.0
57 EAST   55 STREET 10022.0,"3205, 57 E 55th St, New York, NY 10022, United States",40.760882,-73.9725115,57 EAST   55 STREET 10022.0
4 EAST   60 STREET 10022.0,"4 E 60th St, New York, NY 10022, USA",40.7644794,-73.9720148,4 EAST   60 STREET 10022.0
16576 BAISLEY BOULEVARD 11434.0,"16576 Baisley Blvd, Jamaica, NY 11434, USA",40.6784161,-73.7766592,16576 BAISLEY BOULEVARD 11434.0
220 WEST 45 STREET 10036.0,"120 W 45th St, New York, NY 10036, USA",40.75704,-73.9838798,220 WEST 45 STREET 10036.0
225 WEST 44 STREET 10036.0,"225 W 44th St, New York, NY 10036, USA",40.7580922,-73.9871606,225 WEST 44 STREET 10036.0
249 WEST   45 STREET 10036.0,"249 W 45th St, New York, NY 10036, USA",40.7588825,-73.987321,249 WEST   45 STREET 10036.0
1535 BROADWAY 10036.0,"1535 Broadway, New York, NY 10036, USA",40.7585862,-73.98582019999999,1535 BROADWAY 10036.0
256 WEST   47 STREET 10036.0,"256 W 47th St, New York, NY 10036, USA",40.7599428,-73.9869169,256 WEST   47 STREET 10036.0
1883 THIRD AVENUE 10029.0,"1883 3rd Ave, New York, NY 10029, USA",40.7902984,-73.9453936,1883 THIRD AVENUE 10029.0
85 GREENWICH STREET 10006.0,"85 Greenwich St, New York, NY 10006, USA",40.7077343,-74.01355199999999,85 GREENWICH STREET 10006.0
3915 9 AVENUE 11232.0,"3915 9th Ave, Brooklyn, NY 11232, USA",40.6454641,-73.99536239999999,3915 9 AVENUE 11232.0
967 LEXINGTON AVENUE 10021.0,"967 Lexington Ave, New York, NY 10021, USA",40.7692221,-73.96281970000001,967 LEXINGTON AVENUE 10021.0
522 COLUMBUS AVENUE 10024.0,"522 Columbus Ave, New York, NY 10024, USA",40.786044,-73.9727092,522 COLUMBUS AVENUE 10024.0
729 FLUSHING AVENUE 11206.0,"729 Flushing Ave, Brooklyn, NY 11206, USA",40.7007073,-73.94349570000001,729 FLUSHING AVENUE 11206.0
6612 NEW UTRECHT AVE 11219.0,"6612 New Utrecht Ave, Brooklyn, NY 11219, USA",40.622615,-73.998262,6612 NEW UTRECHT AVE 11219.0
402 WEST   34 STREET 10001.0,"2321, 402 W 34th St, New York, NY 10001, United States",40.7533794,-73.99679189999999,402 WEST   34 STREET 10001.0
303 AMSTERDAM AVENUE 10023.0,"303 Amsterdam Ave, New York, NY 10023, USA",40.7800257,-73.98035879999999,303 AMSTERDAM AVENUE 10023.0
1410 3 AVENUE 10028.0,"1410 3rd Ave, New York, NY 10028, USA",40.7751625,-73.9569666,1410 3 AVENUE 10028.0
2020 WHITE PLAINS ROAD 10462.0,"2020 White Plains Rd, The Bronx, NY 10462, USA",40.8507889,-73.86749689999999,2020 WHITE PLAINS ROAD 10462.0
26 EAST   63 STREET 10065.0,"26 E 63rd St, New York, NY 10065, USA",40.7658603,-73.96936149999999,26 EAST   63 STREET 10065.0
3811 DITMARS BLVD 11105.0,"38-11 Ditmars Blvd, Astoria, NY 11105, USA",40.7732257,-73.90625829999999,3811 DITMARS BLVD 11105.0
745 FULTON STREET 11217.0,"745 Fulton St, Brooklyn, NY 11217, USA",40.6866678,-73.9748457,745 FULTON STREET 11217.0
161 MOTT STREET 10013.0,"161 Mott St, New York, NY 10013, USA",40.719646,-73.9965239,161 MOTT STREET 10013.0
318 FLATBUSH AVENUE 11238.0,"318 Flatbush Ave, Brooklyn, NY 11238, USA",40.6771339,-73.972701,318 FLATBUSH AVENUE 11238.0
1420 BROADWAY 10018.0,"2, 1420 Broadway, New York, NY 10018, USA",40.7538826,-73.9867964,1420 BROADWAY 10018.0
2417 HOLLERS AVENUE 10475.0,"2417 Hollers Ave, The Bronx, NY 10475, USA",40.8860667,-73.8232512,2417 HOLLERS AVENUE 10475.0
21 EAST   52 STREET 10022.0,"21 E 52nd St, New York, NY 10022, USA",40.7593806,-73.97491769999999,21 EAST   52 STREET 10022.0
2900 BEDFORD AVENUE 11210.0,"2900 Bedford Ave, Brooklyn, NY 11210, USA",40.6308935,-73.951458,2900 BEDFORD AVENUE 11210.0
16005 CROSS BAY BOULEVARD 11414.0,"160-05 Cross Bay Blvd, Jamaica, NY 11414, USA",40.6572922,-73.8390117,16005 CROSS BAY BOULEVARD 11414.0
7018 AMSTEL BOULEVARD 11692.0,"7018 Amstel Blvd, Arverne, NY 11692, USA",40.5928445,-73.7998683,7018 AMSTEL BOULEVARD 11692.0
7221 3 AVENUE 11209.0,"7221 3rd Ave, Brooklyn, NY 11209, USA",40.632866,-74.0268679,7221 3 AVENUE 11209.0
123 WEST   43 STREET 10036.0,"123 W 43rd St, New York, NY 10036, USA",40.7560984,-73.9845125,123 WEST   43 STREET 10036.0
3501 BROADWAY 11106.0,"35-01 Broadway, Long Island City, NY 11106, USA",40.76061199999999,-73.921888,3501 BROADWAY 11106.0
161 WEST   54 STREET 10019.0,"161 W 54th St, New York, NY 10019, USA",40.7636293,-73.9810349,161 WEST   54 STREET 10019.0
31 8 AVENUE 10014.0,"8th Ave, Brooklyn, NY, USA",40.637755,-74.007206,31 8 AVENUE 10014.0
80 SPRING STREET 10012.0,"80 Spring St, New York, NY 10012, USA",40.7226041,-73.9982235,80 SPRING STREET 10012.0
7 CARMINE STREET 10014.0,"7 Carmine St, New York, NY 10014, USA",40.73058760000001,-74.002141,7 CARMINE STREET 10014.0
1166 1 AVENUE 10065.0,"1166 1st Avenue, New York, NY 10065, USA",40.7625672,-73.95956389999999,1166 1 AVENUE 10065.0
2509 STEINWAY STREET 11103.0,"25-09 Steinway St, Long Island City, NY 11103, USA",40.767575,-73.9117359,2509 STEINWAY STREET 11103.0
2818 31ST STREET 11102.0,"2818 31st St, Astoria, NY 11102, USA",40.7679449,-73.92072399999999,2818 31ST STREET 11102.0
3042 NOSTRAND AVENUE 11229.0,"3042 Nostrand Ave, Brooklyn, NY 11229, USA",40.6101705,-73.9440075,3042 NOSTRAND AVENUE 11229.0
546 KINGS HIGHWAY 11223.0,"546 Kings Hwy, Brooklyn, NY 11223, USA",40.60440029999999,-73.969359,546 KINGS HIGHWAY 11223.0
2157 KNAPP STREET 11229.0,"2157 Knapp St, Brooklyn, NY 11229, USA",40.600074,-73.933593,2157 KNAPP STREET 11229.0
10712 CONTINENTAL AVENUE 11375.0,"107-12 Continental Ave, Forest Hills, NY 11375, USA",40.720414,-73.844456,10712 CONTINENTAL AVENUE 11375.0
15 WEST   46 STREET 10036.0,"15 W 46th St, New York, NY 10036, USA",40.7565391,-73.9799084,15 WEST   46 STREET 10036.0
22 PARK PLACE 10007.0,"22 Park Pl, New York, NY 10007, USA",40.7127305,-74.00856530000001,22 PARK PLACE 10007.0
7509 3 AVENUE 11209.0,"7509 3rd Ave, Brooklyn, NY 11209, USA",40.6310817,-74.0276485,7509 3 AVENUE 11209.0
83 ST MARKS PLACE 10003.0,"83 St Marks Pl, New York, NY 10003, USA",40.7278516,-73.98536740000002,83 ST MARKS PLACE 10003.0
9 THAMES STREET 10006.0,"9 Thames St, Newport, RI 02840, USA",41.4934062,-71.3157011,9 THAMES STREET 10006.0
